#core charge for As  SPIN = 1
 0.00012341   0.00656442
 0.00012717   0.00696090
 0.00013105   0.00737413
 0.00013505   0.00781620
 0.00013917   0.00828277
 0.00014341   0.00877787
 0.00014779   0.00930221
 0.00015229   0.00985788
 0.00015694   0.01044662
 0.00016172   0.01107042
 0.00016666   0.01173136
 0.00017174   0.01243164
 0.00017698   0.01317359
 0.00018237   0.01395967
 0.00018793   0.01479250
 0.00019367   0.01567484
 0.00019957   0.01660961
 0.00020566   0.01759993
 0.00021193   0.01864906
 0.00021839   0.01976048
 0.00022505   0.02093787
 0.00023192   0.02218512
 0.00023899   0.02350634
 0.00024628   0.02490589
 0.00025379   0.02638838
 0.00026153   0.02795869
 0.00026951   0.02962199
 0.00027773   0.03138373
 0.00028620   0.03324971
 0.00029492   0.03522603
 0.00030392   0.03731917
 0.00031319   0.03953596
 0.00032274   0.04188366
 0.00033258   0.04436991
 0.00034272   0.04700283
 0.00035318   0.04979096
 0.00036395   0.05274337
 0.00037505   0.05586964
 0.00038649   0.05917989
 0.00039827   0.06268484
 0.00041042   0.06639579
 0.00042294   0.07032471
 0.00043583   0.07448425
 0.00044913   0.07888776
 0.00046282   0.08354938
 0.00047694   0.08848403
 0.00049148   0.09370747
 0.00050647   0.09923636
 0.00052192   0.10508829
 0.00053784   0.11128186
 0.00055424   0.11783667
 0.00057114   0.12477347
 0.00058856   0.13211413
 0.00060651   0.13988176
 0.00062501   0.14810073
 0.00064407   0.15679678
 0.00066371   0.16599707
 0.00068395   0.17573026
 0.00070481   0.18602658
 0.00072630   0.19691791
 0.00074846   0.20843787
 0.00077128   0.22062194
 0.00079480   0.23350749
 0.00081904   0.24713393
 0.00084402   0.26154278
 0.00086976   0.27677781
 0.00089629   0.29288512
 0.00092362   0.30991326
 0.00095179   0.32791337
 0.00098082   0.34693927
 0.00101073   0.36704763
 0.00104155   0.38829807
 0.00107332   0.41075334
 0.00110605   0.43447941
 0.00113978   0.45954568
 0.00117455   0.48602508
 0.00121037   0.51399429
 0.00124728   0.54353384
 0.00128532   0.57472835
 0.00132452   0.60766663
 0.00136491   0.64244196
 0.00140654   0.67915217
 0.00144943   0.71789991
 0.00149364   0.75879281
 0.00153919   0.80194369
 0.00158613   0.84747076
 0.00163450   0.89549783
 0.00168435   0.94615452
 0.00173572   0.99957648
 0.00178866   1.05590559
 0.00184321   1.11529019
 0.00189942   1.17788529
 0.00195735   1.24385278
 0.00201704   1.31336168
 0.00207855   1.38658830
 0.00214195   1.46371648
 0.00220727   1.54493780
 0.00227459   1.63045177
 0.00234395   1.72046599
 0.00241544   1.81519639
 0.00248910   1.91486734
 0.00256502   2.01971183
 0.00264324   2.12997161
 0.00272385   2.24589727
 0.00280693   2.36774839
 0.00289253   2.49579356
 0.00298074   2.63031046
 0.00307165   2.77158584
 0.00316533   2.91991549
 0.00326186   3.07560420
 0.00336134   3.23896560
 0.00346385   3.41032207
 0.00356949   3.59000444
 0.00367835   3.77835178
 0.00379053   3.97571101
 0.00390613   4.18243652
 0.00402526   4.39888966
 0.00414802   4.62543819
 0.00427453   4.86245557
 0.00440489   5.11032023
 0.00453923   5.36941470
 0.00467766   5.64012460
 0.00482032   5.92283759
 0.00496733   6.21794207
 0.00511882   6.52582586
 0.00527493   6.84687467
 0.00543580   7.18147044
 0.00560158   7.52998951
 0.00577241   7.89280063
 0.00594846   8.27026277
 0.00612987   8.66272281
 0.00631681   9.07051295
 0.00650946   9.49394800
 0.00670798   9.93332245
 0.00691256  10.38890732
 0.00712338  10.86094681
 0.00734062  11.34965475
 0.00756449  11.85521087
 0.00779519  12.37775677
 0.00803292  12.91739183
 0.00827791  13.47416883
 0.00853036  14.04808939
 0.00879052  14.63909928
 0.00905860  15.24708359
 0.00933487  15.87186169
 0.00961956  16.51318219
 0.00991293  17.17071769
 0.01021525  17.84405964
 0.01052679  18.53271306
 0.01084783  19.23609138
 0.01117866  19.95351132
 0.01151958  20.68418798
 0.01187090  21.42723006
 0.01223293  22.18163541
 0.01260601  22.94628697
 0.01299046  23.71994901
 0.01338664  24.50126410
 0.01379489  25.28875052
 0.01421560  26.08080050
 0.01464914  26.87567930
 0.01509591  27.67152515
 0.01555629  28.46635033
 0.01603072  29.25804347
 0.01651962  30.04437305
 0.01702342  30.82299242
 0.01754260  31.59144639
 0.01807760  32.34717942
 0.01862892  33.08754566
 0.01919706  33.80982090
 0.01978252  34.51121651
 0.02038584  35.18889542
 0.02100755  35.83999030
 0.02164823  36.46162392
 0.02230845  37.05093174
 0.02298880  37.60508665
 0.02368990  38.12132597
 0.02441238  38.59698044
 0.02515690  39.02950528
 0.02592412  39.41651298
 0.02671474  39.75580774
 0.02752947  40.04542122
 0.02836905  40.28364925
 0.02923423  40.46908927
 0.03012581  40.60067786
 0.03104457  40.67772798
 0.03199135  40.69996535
 0.03296700  40.66756330
 0.03397241  40.58117546
 0.03500849  40.44196553
 0.03607616  40.25163339
 0.03717639  40.01243669
 0.03831018  39.72720716
 0.03947854  39.39936069
 0.04068253  39.03290053
 0.04192325  38.63241253
 0.04320180  38.20305185
 0.04451935  37.75052039
 0.04587708  37.28103422
 0.04727621  36.80128059
 0.04871802  36.31836404
 0.05020379  35.83974152
 0.05173488  35.37314633
 0.05331267  34.92650112
 0.05493857  34.50782044
 0.05661406  34.12510328
 0.05834064  33.78621676
 0.06011989  33.49877196
 0.06195339  33.26999340
 0.06384281  33.10658597
 0.06578986  33.01459314
 0.06779628  32.99926363
 0.06986390  33.06491527
 0.07199457  33.21480514
 0.07419023  33.45100804
 0.07645284  33.77430614
 0.07878446  34.18409311
 0.08118719  34.67829564
 0.08366319  35.25331575
 0.08621471  35.90399648
 0.08884404  36.62361389
 0.09155356  37.40389757
 0.09434571  38.23508179
 0.09722302  39.10598853
 0.10018808  40.00414339
 0.10324356  40.91592466
