#total charge for As  SPIN = 1
 0.00012341   0.00657323
 0.00012717   0.00697025
 0.00013105   0.00738403
 0.00013505   0.00782669
 0.00013917   0.00829389
 0.00014341   0.00878965
 0.00014779   0.00931469
 0.00015229   0.00987111
 0.00015694   0.01046064
 0.00016172   0.01108528
 0.00016666   0.01174711
 0.00017174   0.01244833
 0.00017698   0.01319127
 0.00018237   0.01397840
 0.00018793   0.01481235
 0.00019367   0.01569587
 0.00019957   0.01663190
 0.00020566   0.01762355
 0.00021193   0.01867409
 0.00021839   0.01978700
 0.00022505   0.02096597
 0.00023192   0.02221489
 0.00023899   0.02353788
 0.00024628   0.02493931
 0.00025379   0.02642379
 0.00026153   0.02799621
 0.00026951   0.02966174
 0.00027773   0.03142585
 0.00028620   0.03329433
 0.00029492   0.03527330
 0.00030392   0.03736925
 0.00031319   0.03958902
 0.00032274   0.04193987
 0.00033258   0.04442946
 0.00034272   0.04706590
 0.00035318   0.04985777
 0.00036395   0.05281415
 0.00037505   0.05594461
 0.00038649   0.05925931
 0.00039827   0.06276895
 0.00041042   0.06648488
 0.00042294   0.07041907
 0.00043583   0.07458419
 0.00044913   0.07899361
 0.00046282   0.08366149
 0.00047694   0.08860275
 0.00049148   0.09383320
 0.00050647   0.09936951
 0.00052192   0.10522929
 0.00053784   0.11143116
 0.00055424   0.11799477
 0.00057114   0.12494087
 0.00058856   0.13229138
 0.00060651   0.14006942
 0.00062501   0.14829941
 0.00064407   0.15700713
 0.00066371   0.16621976
 0.00068395   0.17596600
 0.00070481   0.18627612
 0.00072630   0.19718205
 0.00074846   0.20871746
 0.00077128   0.22091787
 0.00079480   0.23382069
 0.00081904   0.24746540
 0.00084402   0.26189357
 0.00086976   0.27714902
 0.00089629   0.29327792
 0.00092362   0.31032889
 0.00095179   0.32835312
 0.00098082   0.34740451
 0.00101073   0.36753982
 0.00104155   0.38881874
 0.00107332   0.41130409
 0.00110605   0.43506196
 0.00113978   0.46016180
 0.00117455   0.48667668
 0.00121037   0.51468335
 0.00124728   0.54426247
 0.00128532   0.57549875
 0.00132452   0.60848115
 0.00136491   0.64330303
